ll: ll
about: a-bout
going: go-ing
Okay: O-kay
gonna: gon-na
didn: di-dn
really: real-ly
something: some-thing
little: lit-tle
never: ne-ver
over: o-ver
very: ve-ry
Mr: M-r
sorry: sor-ry
people: peo-ple
any: a-ny
only: on-ly
because: be-cause
doing: do-ing
Maybe: May-be
anything: a-ny-thing
even: e-ven
nothing: no-thing
into: in-to
before: be-fore
better: bet-ter
again: a-gain
around: a-round
other: o-ther
away: a-way
ever: e-ver
after: af-ter
always: al-ways
everything: e-very-thing
money: mo-ney
doesn: does-n
believe: be-lieve
isn: i-sn
Hello: Hel-lo
father: fa-ther
every: e-very
Listen: Lis-ten
remember: re-mem-ber
coming: co-ming
baby: ba-by
another: a-no-ther
Ok: O-k
gotta: got-ta
wanna: wan-na
wanted: wan-ted
enough: e-nough
talking: tal-king
happened: hap-pened
being: be-ing
getting: get-ting
understand: un-der-stand
mother: mo-ther
wouldn: woul-dn
trying: try-ing
someone: some-one
morning: mor-ning
woman: wo-man
yourself: your-self
today: to-day
looking: loo-king
wasn: was-n
tonight: to-night
pretty: pret-ty
ready: rea-dy
together: to-ge-ther
minute: mi-nute
matter: mat-ter
haven: ha-ven
Excuse: Ex-cuse
many: ma-ny
idea: i-de-a
without: wi-thout
family: fami-ly
somebody: some-bo-dy
everybody: e-very-bo-dy
myself: my-self
couldn: coul-dn
tomorrow: to-mor-row
happy: hap-py
problem: prob-lem
fucking: fu-cking
actually: ac-tual-ly
business: busi-ness
open: o-pen
already: al-rea-dy
Mrs: Mr-s
alone: a-lone
until: un-til
honey: ho-ney
later: la-ter
saying: say-ing
having: ha-ving
worry: wor-ry
ago: a-go
second: se-cond
brother: bro-ther
thinking: thin-king
probably: pro-bab-ly
beautiful: beau-ti-ful
forget: for-get
minutes: mi-nutes
crazy: cra-zy
Nobody: No-bo-dy
easy: ea-sy
doctor: doc-tor
under: un-der
anyone: a-ny-one
happen: hap-pen
supposed: sup-posed
working: wor-king
afraid: a-fraid
exactly: e-xact-ly
whatever: wha-te-ver
everyone: e-very-one
number: num-ber
taking: ta-king
anyway: a-ny-way
married: mar-ried
police: po-lice
aren: a-ren
party: par-ty
anybody: a-ny-bo-dy
water: wa-ter
trouble: trou-ble
couple: cou-ple
making: ma-king
story: sto-ry
funny: fun-ny
lady: la-dy
person: per-son
inside: in-side
waiting: wai-ting
different: diffe-rent
Captain: Cap-tain
important: im-por-tant
also: al-so
office: of-fice
dinner: din-ner
against: a-gainst
question: ques-tion
ahead: a-head
Michael: Mi-chael
women: wo-men
body: bo-dy
husband: hus-band
reason: rea-son
almost: al-most
telling: tel-ling
anymore: a-ny-more
behind: be-hind
started: star-ted
moment: mo-ment
Daddy: Dad-dy
stupid: stu-pid
along: a-long
either: ei-ther
sister: sis-ter
welcome: wel-come
sometimes: some-times
answer: an-swer
between: be-tween
children: chil-dren
Hurry: Hur-ry
daughter: daugh-ter
outside: out-side
city: ci-ty
feeling: fee-ling
wonderful: won-der-ful
country: coun-try
Jesus: Je-sus
able: ab-le
perfect: per-fect
shouldn: shoul-dn
running: run-ning
order: or-der
living: li-ving
alive: a-live
gentlemen: gen-tle-men
promise: pro-mise
music: mu-sic
power: po-wer
special: spe-cial
serious: se-ri-ous
playing: play-ing
company: com-pa-ny
coffee: cof-fee
lucky: lu-cky
leaving: lea-ving
parents: pa-rents
President: Pre-si-dent
himself: him-self
taken: ta-ken
picture: pic-ture
ladies: la-dies
happens: hap-pens
Perhaps: Per-haps
kidding: kid-ding
meeting: mee-ting
control: con-trol
darling: dar-ling
figure: fi-gure
asking: as-king
cannot: can-not
suppose: sup-pose
human: hu-man
hospital: hos-pi-tal
Uncle: Un-cle
calling: cal-ling
follow: fol-low
movie: mo-vie
Christmas: Christ-mas
weren: weren
evening: eve-ning
million: mil-lion
moving: mo-ving
certainly: cer-tain-ly
questions: ques-tions
finally: fi-nal-ly
quiet: qui-et
wonder: won-der
Goodbye: Good-bye
become: be-come
General: Gene-ral
rather: ra-ther
possible: pos-si-ble
goddamn: god-damn
unless: un-less
absolutely: ab-so-lute-ly
tired: ti-red
murder: mur-der
except: ex-cept
somewhere: some-where
explain: ex-plain
Charlie: Char-lie
giving: gi-ving
seeing: see-ing
secret: se-cret
careful: care-ful
handle: han-dle
early: ear-ly
