ll: l-l
about: a-bout
going: go-ing
Okay: O-kay
gonna: gon-na
didn: di-dn
really: real-ly
something: so-mething
little: lit-tle
never: ne-ver
over: o-ver
very: ve-ry
Mr: M-r
sorry: sor-ry
people: peo-ple
any: a-ny
only: on-ly
because: be-cause
doing: do-ing
Maybe: May-be
anything: a-nyt-hing
even: e-ven
nothing: not-hing
into: in-to
before: be-fore
better: bet-ter
again: a-gain
around: a-round
other: ot-her
away: a-way
ever: e-ver
after: af-ter
always: al-ways
everything: e-ve-rything
money: mo-ney
doesn: do-esn
believe: be-lieve
isn: i-sn
Hello: Hel-lo
father: fat-her
every: e-very
Listen: Lis-ten
remember: re-mem-ber
coming: co-ming
baby: ba-by
another: a-not-her
Ok: O-k
gotta: got-ta
wanna: wan-na
wanted: wan-ted
enough: e-nough
talking: tal-king
happened: hap-pened
being: be-ing
getting: get-ting
understand: un-ders-tand
mother: mot-her
wouldn: wou-ldn
trying: try-ing
someone: so-meone
morning: mor-ning
woman: wo-man
yourself: yo-urself
today: to-day
looking: loo-king
wasn: wa-sn
tonight: to-night
pretty: pret-ty
ready: rea-dy
together: to-get-her
minute: mi-nute
matter: mat-ter
haven: ha-ven
Excuse: Ex-cuse
many: ma-ny
idea: i-d-ea
without: wit-hout
family: fa-mily
somebody: so-me-body
everybody: e-ve-ry-body
myself: my-self
couldn: cou-ldn
tomorrow: to-mor-row
happy: hap-py
problem: pro-blem
fucking: fuc-king
actually: ac-tually
business: bu-siness
open: o-pen
already: al-rea-dy
Mrs: M-rs
alone: a-lone
until: un-til
honey: ho-ney
later: la-ter
saying: say-ing
having: ha-ving
worry: wor-ry
ago: a-go
second: se-cond
brother: brot-her
thinking: thin-king
probably: pro-bably
beautiful: bea-u-tiful
forget: for-get
minutes: mi-nutes
crazy: cra-zy
Nobody: No-bo-dy
easy: ea-sy
doctor: doc-tor
under: un-der
anyone: a-nyo-ne
happen: hap-pen
supposed: sup-posed
working: wor-king
afraid: a-fraid
exactly: e-xac-tly
whatever: wha-te-ver
everyone: e-ve-ryone
number: num-ber
taking: ta-king
anyway: a-ny-way
married: mar-ried
police: po-lice
aren: a-ren
party: par-ty
anybody: a-ny-bo-dy
water: wa-ter
trouble: trou-ble
couple: cou-ple
making: ma-king
story: sto-ry
funny: fun-ny
lady: la-dy
person: per-son
inside: in-side
waiting: wai-ting
different: dif-ferent
Captain: Cap-tain
important: im-por-tant
also: al-so
office: of-fice
dinner: din-ner
against: a-gainst
question: ques-tion
ahead: a-head
Michael: Mic-hael
women: wo-men
body: bo-dy
husband: hus-band
reason: rea-son
almost: al-most
telling: tel-ling
anymore: a-ny-more
behind: be-hind
started: star-ted
moment: mo-ment
Daddy: Dad-dy
stupid: stu-pid
along: a-long
either: eit-her
sister: sis-ter
welcome: wel-come
sometimes: so-metimes
answer: an-swer
between: be-tween
children: chil-dren
Hurry: Hur-ry
daughter: daugh-ter
outside: ou-tside
city: ci-ty
feeling: fee-ling
wonderful: won-der-ful
country: coun-try
Jesus: Je-sus
able: a-ble
perfect: per-fect
shouldn: sho-uldn
running: run-ning
order: or-der
living: li-ving
alive: a-live
gentlemen: gen-tle-men
promise: pro-mise
music: mu-sic
power: po-wer
special: spe-cial
serious: se-rio-us
playing: play-ing
company: com-pa-ny
coffee: cof-fee
lucky: luc-ky
leaving: lea-ving
parents: pa-rents
President: Pre-si-dent
himself: him-self
taken: ta-ken
picture: pic-ture
ladies: la-dies
happens: hap-pens
Perhaps: Per-haps
kidding: kid-ding
meeting: mee-ting
control: con-trol
darling: dar-ling
figure: fi-gure
asking: as-king
cannot: can-not
suppose: sup-pose
human: hu-man
hospital: hos-pi-tal
Uncle: Un-cle
calling: cal-ling
follow: fol-low
movie: mo-vie
Christmas: Chris-tmas
weren: we-ren
evening: e-vening
million: mil-lion
moving: mo-ving
certainly: cer-tain-ly
questions: ques-tions
finally: fi-nal-ly
quiet: qui-et
wonder: won-der
Goodbye: Good-bye
become: be-come
General: Ge-neral
rather: rat-her
possible: pos-si-ble
goddamn: god-damn
unless: un-less
absolutely: a-bso-lu-tely
tired: ti-red
murder: mur-der
except: ex-cept
somewhere: so-mewhere
explain: ex-plain
Charlie: Char-lie
giving: gi-ving
seeing: see-ing
secret: se-cret
careful: ca-reful
handle: han-dle
