word,splitted,freqcount,cdcount
you,you,2134713,8381
the,the,1501908,8388
to,to,1156570,8383
a,a,1041179,8382
it,it,963712,8377
that,that,719677,8368
and,and,682780,8379
of,of,590439,8375
What,What,501965,8365
in,in,498444,8372
me,me,471339,8355
is,is,459663,8370
we,we,459607,8359
this,this,406915,8360
he,he,389497,8350
on,on,354742,8372
for,for,351650,8374
my,my,344899,8349
your,your,328715,8347
don,don,321085,8326
have,have,314232,8363
do,do,312915,8348
re,re,311072,8268
No,No,304549,8359
be,be,293085,8363
know,know,291780,8340
was,was,288391,8345
not,not,276673,8349
can,can,267620,8353
are,are,265672,8362
all,all,263255,8279
with,with,257465,8351
just,just,242206,8338
get,get,233772,8336
here,here,230788,8352
but,but,225291,8350
ll,l-l,224097,8180
there,there,221754,8355
so,so,216452,8350
they,they,209250,8332
right,right,204428,8320
like,like,203947,8341
out,out,197131,8343
go,go,193445,8343
she,she,190377,8126
up,up,187170,8345
about,a-bout,185206,8321
if,if,180610,8340
him,him,177710,8254
got,got,168631,8249
Oh,Oh,167781,8019
at,at,164072,8346
now,now,163333,8350
Come,Come,160190,8335
one,one,156684,8346
How,How,155867,8341
Well,Well,152523,8146
Yeah,Yeah,152262,7790
her,her,144627,8076
want,want,140718,8305
think,think,137261,8301
good,good,133117,8316
see,see,130393,8326
Let,Let,123381,8307
did,did,119410,8306
Why,Why,114687,8299
who,who,113370,8318
as,as,113068,8239
his,his,108364,8186
will,will,108306,8129
going,go-ing,108288,8238
from,from,103992,8306
when,when,103739,8312
back,back,102467,8273
Okay,O-kay,102320,6322
Yes,Yes,101835,8140
gonna,gon-na,101804,7021
time,time,99890,8308
look,look,99311,8290
take,take,96443,8299
an,an,95071,8285
man,man,94133,8054
Where,Where,93341,8260
them,them,90720,8162
would,would,90162,8268
been,been,88573,8261
some,some,88089,8269
Hey,Hey,88079,7540
tell,tell,87949,8121
or,or,86970,8239
us,us,86478,8199
had,had,85472,8224
were,were,84804,8237
say,say,83629,8231
could,could,83109,8233
didn,di-dn,80623,8163
really,real-ly,76508,7956
something,so-mething,76508,8231
down,down,76004,8161
then,then,75966,8255
little,lit-tle,73766,8072
way,way,72661,8222
our,our,71425,8113
make,make,70775,8215
too,too,69950,8200
never,ne-ver,69490,8158
by,by,68364,8203
over,o-ver,67488,8171
more,more,66228,8177
need,need,66040,8076
mean,mean,63443,8032
very,ve-ry,63304,7863
off,off,60155,8058
Mr,M-r,60098,6159
sorry,sor-ry,59566,7923
give,give,59559,8088
has,has,57830,8074
Thank,Thank,56877,7790
love,love,56864,7377
said,said,56531,8026
am,am,56438,7983
people,peo-ple,56252,7889
please,please,56149,7837
sure,sure,56091,8007
any,a-ny,56068,8049
thing,thing,55522,8058
only,on-ly,55269,8118
because,be-cause,54622,7910
two,two,54384,7966
should,should,54159,8129
doing,do-ing,52492,7954
much,much,49636,8027
sir,sir,49188,5141
Maybe,May-be,47249,7737
help,help,46977,7745
anything,a-nyt-hing,46270,7929
these,these,46104,7850
God,God,46061,6940
even,e-ven,44672,7931
night,night,44168,7381
call,call,43931,7556
talk,talk,43605,7619
nothing,not-hing,43534,7851
into,in-to,43074,7876
first,first,42869,7861
find,find,42379,7687
wait,wait,42343,7709
put,put,42251,7840
great,great,41864,7462
thought,thought,41232,7829
day,day,40893,7727
work,work,40699,7670
life,life,40629,7596
before,be-fore,40501,7914
better,bet-ter,40494,7814
again,a-gain,40428,7852
still,still,40225,7811
home,home,39491,7452
guy,guy,38893,6594
won,won,38729,7543
those,those,38404,7712
than,than,37679,7770
around,a-round,37573,7563
other,ot-her,37505,7738
away,a-way,37276,7580
new,new,36913,7238
last,last,36878,7731
uh,uh,36579,3874
ever,e-ver,36170,7513
stop,stop,36071,7421
keep,keep,35846,7569
told,told,35679,7529
must,must,35661,7154
things,things,35337,7487
big,big,34824,7234
after,af-ter,34812,7645
long,long,34433,7581
does,does,34002,7665
always,al-ways,33418,7495
their,their,33413,7190
everything,e-ve-rything,33399,7368
nice,nice,33125,7094
name,name,32735,7031
money,mo-ney,32679,5647
doesn,do-esn,32435,7549
